source_group,run_id,source_filename,source_size_bytes,source_sha256,public_repository_file,public_copy_status,public_copy_transform,public_sha256
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep02,optimization_report.docx,42044,6364d8be734f35eba9768865bd77e1eef310ff02653691321d6815f590e1beea,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep02/optimization_report.public.docx,public_safe_derivative,external local template relationship and creator metadata removed; visible text preserved,93d4cf94f20c1242e05f1cb572cab63079b0e4eafe6b5b3ab8244c119b4bb6eb
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep03,transcript.json,86310,94cc33f24938c235b2f29bee0365d72b2f8311b0ff66e06ec375e8603ec3e6fa,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep03/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,d3da585c9411d0fcbecbe45269874d0dd884d9a2d0c9aec517a8363d8a512354
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep03,mechanism_answer.md,9971,14eb5d634902c60a11c5e96c11f82bbd3265a7720017209059178b08245246c8,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep03/mechanism_answer.md,byte_identical_copy,none,14eb5d634902c60a11c5e96c11f82bbd3265a7720017209059178b08245246c8
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep03,optimization_answer.md,9028,de4ac6a4710e2a767a5ce4d79b5e57571cfc8d547f3a5aff3d991c19f98663a2,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep03/optimization_answer.public.md,public_safe_derivative,transient Dify download URL removed,f967fe26322456797e434f6a1411a70c42058de90e541810f09616f699bd514a
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep03,optimization_report.docx,41453,7b1a2f7aa1e975c99d56ce890eff0958b3ee56e4ae4fc0b0b8290834628a07b9,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep03/optimization_report.public.docx,public_safe_derivative,external local template relationship and creator metadata removed; visible text preserved,8d3ed241b06d03d36cb9323f04d661dc4ce6f057c4eb00529b2aa0f511522b75
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep01,transcript.json,91574,f5d6fd0f61570d181e0e8143052b097f8834817eb6cb896601e5c2d50bea57b0,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep01/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,11174aeb532bebf91432b56ef6a35d37d836e8b69e5d729e3d5f3b4a86a37c49
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep01,mechanism_answer.md,12828,00a83084637a601c253d8315849ceca8d6038e1dfa6a02a2a28baf7b63a55554,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep01/mechanism_answer.md,byte_identical_copy,none,00a83084637a601c253d8315849ceca8d6038e1dfa6a02a2a28baf7b63a55554
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep01,optimization_answer.md,9158,53e6c7fd2f08e96e4f753a7255c9de0f7e67b90f319ef75e5a9cec21fa9377de,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep01/optimization_answer.public.md,public_safe_derivative,transient Dify download URL removed,2ba163a256a1b6b760f219c91d33cc05b38fd3552daa76eba0bb957ae3a905c7
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep01,optimization_report.docx,43666,51375db91a072d7fc08e93f8df0c637cb37b9ebc3ef6cf307b052eec731315ab,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep01/optimization_report.public.docx,public_safe_derivative,external local template relationship and creator metadata removed; visible text preserved,2c71180ca93cfcffa4028cb53daf5869c9e59a4c3f4ec0dd90bad575ed4ddb48
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep02,transcript.json,92682,1637233e41b35290081b60ee53ae6cedc199fc71a4334d29df1401492b123034,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep02/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,b3360302061a62c6b1eeda2e5333aa244cc85c9c4e0fd913181bfa8df9a2a791
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep02,mechanism_answer.md,13473,8607ecb2e0542e95df8666064b5133f2048ff34ea7d702642cda310dab9fc0c2,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep02/mechanism_answer.md,byte_identical_copy,none,8607ecb2e0542e95df8666064b5133f2048ff34ea7d702642cda310dab9fc0c2
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep02,optimization_answer.md,10165,1c970404ad2cb6daa5543345e05fbb70aaa14e6ef124ccdefeb977591a45311e,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep02/optimization_answer.public.md,public_safe_derivative,transient Dify download URL removed,8dd870e7e3811fd9a8ddb0a4102f979bc84aac53133be7ef99422cebc8bc8e43
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep02,optimization_report.docx,43905,b7a178bec2079340dcc04a94bca987088339112eef32d93507c5c922379da1cc,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep02/optimization_report.public.docx,public_safe_derivative,external local template relationship and creator metadata removed; visible text preserved,7a566fcd17c0330e1fdc2ffc688bf0109ba0d0421cc84e0213904f4b77d912d9
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep03,transcript.json,90663,e85a26a97af22f8c1567f25e79b801744c3782681a31fc4460b668cc79499c5e,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep03/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,f7f9bf4cc3a2a231768a6b62078e6597e21a673f6a9af1330ba081d9b4ab3c6f
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep03,mechanism_answer.md,12040,0f8434bc54906512d651ca55dc3c0a5f1f3a51bb3ea583d37a6e301dc68b8e19,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep03/mechanism_answer.md,byte_identical_copy,none,0f8434bc54906512d651ca55dc3c0a5f1f3a51bb3ea583d37a6e301dc68b8e19
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep03,optimization_answer.md,10522,b696dfd8210d47981904221751882b50e7f3562f117254949a25a94e7cf0afe8,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep03/optimization_answer.public.md,public_safe_derivative,transient Dify download URL removed,f7611f6fb5e1d75870b04fef0c8d5f216ebdf793a1ae996c1b69a7cb0fe70624
tomo_mygo_adapted_90,three_formulation_optimization__20260724_183333__rep03,optimization_report.docx,42840,3d7256f8f4803e27cf37c5b4889c8bf4134c92b3f5d9f7e7481ed62f25987c06,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep03/optimization_report.public.docx,public_safe_derivative,external local template relationship and creator metadata removed; visible text preserved,618ad2986134a632715f50b78650f2cb7788cfa098f56fe27dcbfed8a07f0c91
gpt_skill_assisted,gpt_skill_target_110_doc01,GPT 5.5 90%.docx,3066113,3ee8be52ace8fe4a4bc5086b560b2b4669a907384086bcf51be52b0c4839b674,example_data/example_markdown_outputs/skills/methylene_blue/supplementary_target_response/gpt_skill_target_110_output.docx,byte_identical_copy,renamed using final optimization objective; Final optimization section targets 110%; source filename says 90%.,3ee8be52ace8fe4a4bc5086b560b2b4669a907384086bcf51be52b0c4839b674
gpt_skill_assisted,gpt_skill_target_90_doc01,GPT5.5 110%.docx,12882689,9d6c5e09baf0708abebdada0d1cd156be6ee30d0c589fc77bf21ae475b63b59e,example_data/example_markdown_outputs/skills/methylene_blue/supplementary_target_response/gpt_skill_target_90_output.docx,byte_identical_copy,renamed using final optimization objective; Final optimization section targets 90%; source filename says 110% and earlier background text still mentions 110%.,9d6c5e09baf0708abebdada0d1cd156be6ee30d0c589fc77bf21ae475b63b59e
