summary_scope,model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_total,complete_repeat_group_count,consistent_group_count,inconsistent_group_count,ambiguous_group_count,potential_false_positive_count,potential_false_negative_count,consistency_rate_pct,inconsistency_rate_pct
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,1,1,0,1,0,0,1,0.0,100.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,1,1,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,ChatGPT,硝苯地平控释片30mg,unknown,拜新同,赛新同,拜新同 vs 赛新同,BJ86516 vs 12401091,cross_manufacturer,1,0,0,0,1,0,0,0.0,0.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,1,1,0,1,0,0,1,0.0,100.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,1,1,0,1,0,0,1,0.0,100.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,1,1,0,1,0,1,0,0.0,100.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,易释,拜新同 vs 易释,BJ86516 vs 2506K003,cross_manufacturer,1,1,0,1,0,1,0,0.0,100.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,欣然,拜新同 vs 欣然,BJ86516 vs 25053401,cross_manufacturer,1,1,0,1,0,1,0,0.0,100.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,欣适平,拜新同 vs 欣适平,BJ86516 vs 58,cross_manufacturer,1,1,0,1,0,0,1,0.0,100.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,立方,拜新同 vs 立方,BJ86516 vs 2503501,cross_manufacturer,1,1,1,0,0,0,0,100.0,0.0
MODEL_BUCKET,DeepSeek,硝苯地平控释片30mg,unknown,拜新同,贝奇康,拜新同 vs 贝奇康,BJ86516 vs 2406601,cross_manufacturer,1,1,0,1,0,0,1,0.0,100.0
