model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_base_key,repeat_group_model_key,replicate_count,complete_replicate_group,replicate_ids,replicate_1_verdict,replicate_2_verdict,replicate_3_verdict,replicate_1_path,replicate_2_path,replicate_3_path,consistency_status,consensus_verdict,same_count,different_count,unknown_count,potential_false_positive_count,potential_false_negative_count,potential_error_replicates,manual_review_flag
ChatGPT,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || Kimi,2,0,"2,3",,unknown,different,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep03/compare_answer.md,insufficient,different,0,1,1,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || Qwen,3,1,"1,2,3",different,different,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep03/compare_answer.md,consistent,different,0,3,0,0,0,,0
ChatGPT,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || GLM,3,1,"1,2,3",unknown,unknown,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep03/compare_answer.md,insufficient,,0,0,3,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || Kimi,2,0,"2,3",,unknown,different,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep03/compare_answer.md,insufficient,different,0,1,1,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363,硝苯地平控释片30mg || 拜新同 vs 君保泰 || BJ86516 vs 2505363 || Qwen,3,1,"1,2,3",different,same,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__10-硝苯地平控释片30mg-君保泰-2505363-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,2,1
ChatGPT,硝苯地平控释片30mg,,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || GLM,2,0,"1,3",different,,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep01/compare_answer.md,,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep03/compare_answer.md,insufficient,different,0,1,1,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || Kimi,2,0,"2,3",,unknown,unknown,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep03/compare_answer.md,insufficient,,0,0,2,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || Qwen,3,1,"1,2,3",same,same,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,same,2,1,0,0,1,3,1
ChatGPT,硝苯地平控释片30mg,,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508 || GLM,3,1,"1,2,3",same,different,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,,1,1,1,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508 || Kimi,3,1,"1,2,3",unknown,same,same,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep03/compare_answer.md,consistent,same,2,0,1,0,0,,0
Qwen,硝苯地平控释片30mg,,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508,硝苯地平控释片30mg || 拜新同 vs 奥赛定 || BJ86516 vs 0000117508 || Qwen,3,1,"1,2,3",different,same,same,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__12-硝苯地平控释片30mg-奥赛定-0000117508-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,same,2,1,0,0,1,1,1
ChatGPT,硝苯地平控释片30mg,,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291 || GLM,3,1,"1,2,3",unknown,unknown,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep03/compare_answer.md,insufficient,,0,0,3,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291 || Kimi,2,0,"1,2",unknown,different,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep02/compare_answer.md,,insufficient,different,0,1,1,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,居安诺,拜新同 vs 居安诺,BJ86516 vs Q332411291,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291,硝苯地平控释片30mg || 拜新同 vs 居安诺 || BJ86516 vs Q332411291 || Qwen,3,1,"1,2,3",different,same,same,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__09-硝苯地平控释片30mg-居安诺-Q332411291-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,same,2,1,0,0,1,1,1
ChatGPT,硝苯地平控释片30mg,,拜新同,得欣通,拜新同 vs 得欣通,BJ86516 vs 2214250501,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501,硝苯地平控释片30mg || 拜新同 vs 得欣通 || BJ86516 vs 2214250501 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs13-硝苯地平控释片30mg-得欣通-2214250501-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
