"expected_item","expected_repo_path","candidate_category","status","importance","likely_required_source_or_file_type","matching_repo_paths","handling_action","notes"
"workflow screenshots","workflows/screenshots/","workflow_screenshot","found","recommended","Dify workflow screenshots.","workflows/screenshots/DIS_chatflow_workflow.png; workflows/screenshots/TOMO_chatflow_workflow.png; workflows/screenshots/TOMO_chatflow_workflow_2.png","No action; screenshots are present.","Recommended workflow screenshots are present."
"node_descriptions.md","workflows/node_descriptions.md","workflow_documentation","found","recommended","Human-readable Dify node documentation, likely from workflow notes or manual node export.","workflows/node_descriptions.md","No action; node description document is present.","Generated from approved source text files."
"ANON/RANA/SOYO/TAKI skill folders","skills/ANON; skills/RANA; skills/SOYO; skills/TAKI","skill_TOMO_modules","found","recommended","Local TOMO skill folders exported from .agents/skills.","skills/ANON/SKILL.md; skills/RANA/SKILL.md; skills/SOYO/SKILL.md; skills/TAKI/SKILL.md","No action; skill folders are present.","Recommended TOMO skill folders are present."
"OpenAlex query/filter documentation","knowledge_base/openalex_query_and_filters.md","knowledge_base_openalex","found","recommended","OpenAlex search/filter notes or query documentation.","knowledge_base/openalex_query_and_filters.md","No action; documentation is present.","Recommended OpenAlex documentation is present."
"OpenFDA field mapping documentation","knowledge_base/openfda_field_mapping.md","knowledge_base_openfda","found","recommended","OpenFDA API field-mapping notes or manually authored mapping table.","knowledge_base/openfda_field_mapping.md","No action; field mapping documentation is present.","Generated from approved OpenFDA extraction code and output examples."
"skill metric definitions","docs/skill_metric_definitions.md","documentation","found","recommended","Metric definitions document; possible source is model_output_batch_analyzer references and manuscript methods notes.","docs/skill_metric_definitions.md","No action; metric definitions document is present.","Generated from the approved model-output-batch-analyzer README."
"reproducibility notes","docs/reproducibility_notes.md","documentation","found","recommended","Reproducibility notes from method scripts, data-processing logs, and manuscript methods.","docs/reproducibility_notes.md","No action; reproducibility notes are present.","Generated from repository contents and user-provided public-data scope."
"representative flow-through images","validation_data/flowthrough_images/","validation_flowthrough_images","found","recommended","Representative sampled flow-through images from validation image folders.","validation_data/flowthrough_images/methylene_blue_standard_viscosity_0000.500.jpg; validation_data/flowthrough_images/methylene_blue_standard_viscosity_0030.000.jpg; validation_data/flowthrough_images/methylene_blue_standard_viscosity_0060.000.jpg; validation_data/flowthrough_images/methylene_blue_standard_viscosity_0090.000.jpg; validation_data/flowthrough_images/methylene_blue_standard_viscosity_0114.000.jpg; validation_data/flowthrough_images/methylene_blue_low_viscosity_0000.500.jpg; validation_data/flowthrough_images/methylene_blue_low_viscosity_0030.000.jpg; validation_data/flowthrough_images/methylene_blue_low_viscosity_0060.000.jpg; validation_data/flowthrough_images/methylene_blue_low_viscosity_0090.000.jpg; validation_data/flowthrough_images/methylene_blue_low_viscosity_0114.000.jpg; validation_data/flowthrough_images/methylene_blue_high_viscosity_0000.500.jpg; validation_data/flowthrough_images/methylene_blue_high_viscosity_0030.000.jpg; validation_data/flowthrough_images/methylene_blue_high_viscosity_0060.000.jpg; validation_data/flowthrough_images/methylene_blue_high_viscosity_0090.000.jpg; validation_data/flowthrough_images/methylene_blue_high_viscosity_0114.000.jpg","No action; representative sampled validation images are present.","Sampled from the approved methylene-blue flow-through image folder."
"projected-area extraction script","scripts/extract_blank_projected_area.py","script_projected_area","found","optional","Optional projected-area extraction script.","scripts/extract_blank_projected_area.py","No action; optional script is present.","Optional projected-area extraction script is present."
"blank projected-area processed data","processed_data/blank_formulation_projected_area.csv","processed_data_blank_projected_area","found","optional","Optional blank formulation projected-area CSV.","processed_data/blank_formulation_projected_area.csv; processed_data/blank_formulation_projected_area_10.csv; processed_data/blank_formulation_projected_area_11.csv; processed_data/blank_formulation_projected_area_12.csv; processed_data/blank_formulation_projected_area_13.csv; processed_data/blank_formulation_projected_area_14.csv; processed_data/blank_formulation_projected_area_15.csv; processed_data/blank_formulation_projected_area_16.csv; processed_data/blank_formulation_projected_area_17.csv; processed_data/blank_formulation_projected_area_18.csv; processed_data/blank_formulation_projected_area_19.csv; processed_data/blank_formulation_projected_area_2.csv; processed_data/blank_formulation_projected_area_20.csv; processed_data/blank_formulation_projected_area_21.csv; processed_data/blank_formulation_projected_area_22.csv; processed_data/blank_formulation_projected_area_23.csv; processed_data/blank_formulation_projected_area_24.csv; processed_data/blank_formulation_projected_area_25.csv; processed_data/blank_formulation_projected_area_26.csv; processed_data/blank_formulation_projected_area_27.csv; processed_data/blank_formulation_projected_area_28.csv; processed_data/blank_formulation_projected_area_29.csv; processed_data/blank_formulation_projected_area_3.csv; processed_data/blank_formulation_projected_area_30.csv; processed_data/blank_formulation_projected_area_31.csv; processed_data/blank_formulation_projected_area_32.csv; processed_data/blank_formulation_projected_area_33.csv; processed_data/blank_formulation_projected_area_34.csv; processed_data/blank_formulation_projected_area_35.csv; processed_data/blank_formulation_projected_area_36.csv; processed_data/blank_formulation_projected_area_37.csv; processed_data/blank_formulation_projected_area_38.csv; processed_data/blank_formulation_projected_area_39.csv; processed_data/blank_formulation_projected_area_4.csv; processed_data/blank_formulation_projected_area_40.csv; processed_data/blank_formulation_projected_area_41.csv; processed_data/blank_formulation_projected_area_42.csv; processed_data/blank_formulation_projected_area_43.csv; processed_data/blank_formulation_projected_area_44.csv; processed_data/blank_formulation_projected_area_5.csv; processed_data/blank_formulation_projected_area_6.csv; processed_data/blank_formulation_projected_area_7.csv; processed_data/blank_formulation_projected_area_8.csv; processed_data/blank_formulation_projected_area_9.csv","No action; optional processed data are present.","Optional blank projected-area data are present."
"example images","example_data/example_images/","example_images","found","optional","Small representative example images.","example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0005.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0045.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0090.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0135.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0180.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0225.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0270.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0315.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0360.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0405.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0450.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0495.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0540.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0585.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0630.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0675.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0720.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0765.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0810.000.jpg; example_data/example_images/01-ph4.5t-_2mg-_-we127f-side-15min-_-1_0855.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0000.500.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0006.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0012.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0018.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0024.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0030.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0036.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0042.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0048.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0054.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0060.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0066.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0072.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0078.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0084.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0090.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0096.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0102.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0108.000.jpg; example_data/example_images/231014-01-ph6.8t-_10mg-_-24h-side-750x-0_0114.000.jpg","No action; optional examples are present.","Optional example images are present."
"example markdown outputs","example_data/example_markdown_outputs/","example_markdown_outputs","found","optional","Small representative model/chatflow/skill outputs.","example_data/example_markdown_outputs/chatflow/gliclazide/rep01/mechanism_answer.md; example_data/example_markdown_outputs/chatflow/gliclazide/rep01/optimization_answer.md; example_data/example_markdown_outputs/chatflow/gliclazide/rep01/optimization_report.docx; example_data/example_markdown_outputs/chatflow/gliclazide/rep02/mechanism_answer.md; example_data/example_markdown_outputs/chatflow/gliclazide/rep02/optimization_answer.md; example_data/example_markdown_outputs/chatflow/gliclazide/rep02/optimization_report.docx; example_data/example_markdown_outputs/chatflow/gliclazide/rep02/transcript.json; example_data/example_markdown_outputs/chatflow/gliclazide/rep03/mechanism_answer.md; example_data/example_markdown_outputs/chatflow/gliclazide/rep03/optimization_answer.md; example_data/example_markdown_outputs/chatflow/gliclazide/rep03/optimization_report.docx; example_data/example_markdown_outputs/chatflow/gliclazide/rep03/transcript.json; example_data/example_markdown_outputs/chatflow/methylene_blue/rep01/mechanism_answer.md; example_data/example_markdown_outputs/chatflow/methylene_blue/rep01/optimization_answer.md; example_data/example_markdown_outputs/chatflow/methylene_blue/rep01/optimization_report.docx; example_data/example_markdown_outputs/chatflow/methylene_blue/rep01/transcript.json; example_data/example_markdown_outputs/chatflow/methylene_blue/rep02/mechanism_answer.md; example_data/example_markdown_outputs/chatflow/methylene_blue/rep02/optimization_answer.md; example_data/example_markdown_outputs/chatflow/methylene_blue/rep02/optimization_report.docx; example_data/example_markdown_outputs/chatflow/methylene_blue/rep02/transcript.json; example_data/example_markdown_outputs/chatflow/methylene_blue/rep03/mechanism_answer.md; example_data/example_markdown_outputs/chatflow/methylene_blue/rep03/optimization_answer.md; example_data/example_markdown_outputs/chatflow/methylene_blue/rep03/optimization_report.docx; example_data/example_markdown_outputs/chatflow/methylene_blue/rep03/transcript.json; example_data/example_markdown_outputs/gemini/formulation_optimization/gliclazide_matrix_tablet_disintegration_analysis_and_optimization_report.docx; example_data/example_markdown_outputs/gemini/formulation_optimization/gliclazide_matrix_tablet_disintegration_and_formulation_optimization.docx; example_data/example_markdown_outputs/gemini/formulation_optimization/gliclazide_matrix_tablet_disintegration_and_formulation_optimization_analysis.docx; example_data/example_markdown_outputs/gemini/formulation_optimization/integrated_formulation_optimization_methylene_blue_sustained-release_tablets_.docx; example_data/example_markdown_outputs/gemini/formulation_optimization/methylene_blue_sustained_release_tablet_optimization_analysis_md.docx; example_data/example_markdown_outputs/gemini/formulation_optimization/optimization_of_methylene_blue_sustained-release_tablets.docx; example_data/example_markdown_outputs/skills/gliclazide/gliclazide_formulation_disintegration_analysis.doc; example_data/example_markdown_outputs/skills/gliclazide/gliclazide_hpmc_disintegration_analysis_and_optimization.doc; example_data/example_markdown_outputs/skills/gliclazide/gliclazide_hpmc_ratio_disintegration_and_release_analysis.doc; example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained_release_tablet_disintegration_analysis.doc; example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained-release_tablet_disintegration_analysis.doc; example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained-release_tablet_disintegration_analysis_and_optimization.doc","No action; optional examples are present.","Optional example outputs are present."
"example UV data","example_data/example_uv_data/","example_uv_data","missing","optional","Small public UV example CSV or spreadsheet.","","Add only a real small sample if approved; never synthesize UV data.","Optional example UV data folder exists but contains no data files."
"plot_fig5_uv_release.py","scripts/plot_fig5_uv_release.py","script_plotting","found","optional","Likely source: D:\Claude code\nature_comm_figures\scripts\revise_fig5b_plots.py or another approved fig5 plotting script.","scripts/plot_fig5_uv_release.py","No action; Fig. 5 UV release plotting script is present.","Copied from the approved nature_comm_figures revise_fig5b_plots.py script."
"CITATION.cff","CITATION.cff","metadata","found","optional","Citation metadata file.","CITATION.cff","No action; optional metadata file is present.","Optional citation file is present."
"tests","tests/","tests","missing","optional","Optional automated tests or smoke-test scripts.","","Add only real tests if authored later; no synthetic test outputs.","Optional tests are not present."
"run_dis_chatflow_batch.py","scripts/run_dis_chatflow_batch.py","script_dis_batch","found","optional","Optional batch workflow execution script; likely source is a local Dify/API batch runner script if one was approved for public release.","scripts/run_dis_chatflow_batch.py","No action; sanitized batch runner is present.","The approved local Chatflow API script was copied as scripts/run_dis_chatflow_batch.py after sanitizing local paths and credential-file path."
