severity,area,repo_path,issue_type,evidence,recommendation,action_status
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_6.md,code_saved_as_markdown_doc,First line looks like source code: import torch.nn as nn,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_7.md,code_saved_as_markdown_doc,First line looks like source code: from contextlib import nullcontext,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_8.md,code_saved_as_markdown_doc,"First line looks like source code: # Copyright (c) Meta Platforms, Inc. and affiliates.","Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_9.md,empty_file,0-byte file copied from OCR source package.,Remove from staging or replace with a concise public workflow note. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.,fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/openalex_query_and_filters.md,openalex_code_saved_as_doc,"First line looks like Python code: import time, requests","Replace with human-readable OpenAlex query/filter documentation, or rename/move as script source after review. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/openalex_query_and_filters_2.md,openalex_code_saved_as_doc,"First line looks like Python code: from pymongo import MongoClient, ASCENDING","Replace with human-readable OpenAlex query/filter documentation, or rename/move as script source after review. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,prompts,prompts/DIS/fig-3_prompts.ai,binary_design_file_in_prompt_folder,Illustrator .ai file located in prompts/DIS.,Move to docs/assets or exclude; prompt folder should contain text prompt modules only. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.,fixed_readme_cleanup_2026-06-16
cleanup_recommended,skills,skills/model_output_batch_analyzer/,analysis_outputs_mixed_into_skill_module,100 run-output CSV/SVG/MD files are mixed into the reusable skill folder.,"Keep only SKILL.md, agents/, references/, scripts/analyze_results.py in skills; move selected outputs to processed_data/model_output_batch_analyzer_reports or remove.",manual_decision_needed
fixed,manifest,repository_manifest.csv,manifest_synced_after_openalex_deletions,Previously deleted OpenAlex candidate rows were updated to removed-from-staging status.,No action needed for those rows.,done
fixed,skills,skills/model_output_batch_analyzer/scripts/analyze_results.py,missing_core_skill_script_fixed,Reusable analyzer script was absent and has now been copied after false-positive token scan review.,Keep this file with the skill module.,done
missing,scripts,scripts/plot_fig5_uv_release.py,expected_script_missing,Expected file not present in repo; candidates were missing or sensitive/review-gated.,Create redacted/public version or leave TODO in manifest.,manual_decision_needed
missing,scripts,scripts/run_dis_chatflow_batch.py,expected_script_missing,Expected file not present in repo; candidates were missing or sensitive/review-gated.,Create redacted/public version or leave TODO in manifest.,manual_decision_needed
review,example_data,example_data/example_markdown_outputs/skills/gliclazide/gliclazide_formulation_disintegration_analysis.doc,large_word_report_added,Word .doc skill conversation/report is 10.94 MB.,"Manual review before GitHub upload: confirm these large Word reports are necessary, non-sensitive, and preferable to smaller exported Markdown/PDF/text summaries.",manual_decision_needed
review,example_data,example_data/example_markdown_outputs/skills/gliclazide/gliclazide_hpmc_disintegration_analysis_and_optimization.doc,large_word_report_added,Word .doc skill conversation/report is 10.93 MB.,"Manual review before GitHub upload: confirm these large Word reports are necessary, non-sensitive, and preferable to smaller exported Markdown/PDF/text summaries.",manual_decision_needed
review,example_data,example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained_release_tablet_disintegration_analysis.doc,large_word_report_added,Word .doc skill conversation/report is 12.55 MB.,"Manual review before GitHub upload: confirm these large Word reports are necessary, non-sensitive, and preferable to smaller exported Markdown/PDF/text summaries.",manual_decision_needed
review,example_data,example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained-release_tablet_disintegration_analysis_and_optimization.doc,large_word_report_added,Word .doc skill conversation/report is 12.5 MB.,"Manual review before GitHub upload: confirm these large Word reports are necessary, non-sensitive, and preferable to smaller exported Markdown/PDF/text summaries.",manual_decision_needed
review,privacy,multiple,absolute_local_paths_present,24 files contain local absolute paths; mostly manifests/audit/source mapping.,Decide whether public manifest should keep original paths or use anonymized source IDs.,manual_decision_needed
review,prompts,prompts/DIS/background_prompt.txt,schema_or_skill_metadata_in_prompt_file,First line: ---,"Confirm whether this is intended as prompt documentation, JSON schema, or skill metadata; rename accordingly if kept.",manual_decision_needed
review,prompts,prompts/DIS/compare_prompt.txt,schema_or_skill_metadata_in_prompt_file,First line: {,"Confirm whether this is intended as prompt documentation, JSON schema, or skill metadata; rename accordingly if kept.",manual_decision_needed
review,prompts,prompts/DIS/compare_prompt_2.txt,schema_or_skill_metadata_in_prompt_file,First line: ---,"Confirm whether this is intended as prompt documentation, JSON schema, or skill metadata; rename accordingly if kept.",manual_decision_needed
review,prompts,prompts/DIS/image_analysis_prompt.txt,schema_or_skill_metadata_in_prompt_file,First line: {,"Confirm whether this is intended as prompt documentation, JSON schema, or skill metadata; rename accordingly if kept.",manual_decision_needed
review,prompts,prompts/DIS/mechanism_prompt.txt,schema_or_skill_metadata_in_prompt_file,First line: {,"Confirm whether this is intended as prompt documentation, JSON schema, or skill metadata; rename accordingly if kept.",manual_decision_needed
review,prompts,prompts/DIS/mechanism_prompt_2.txt,schema_or_skill_metadata_in_prompt_file,First line: ---,"Confirm whether this is intended as prompt documentation, JSON schema, or skill metadata; rename accordingly if kept.",manual_decision_needed
review,repository,multiple,exact_duplicate_content,42 exact duplicate-content groups found. Examples: knowledge_base/markdown_conversion_workflow_5.md | knowledge_base/markdown_conversion_workflow_9.md ;; processed_data/blank_formulation_projected_area_16.csv | processed_data/blank_formulation_projected_area_17.csv ;; processed_data/blank_formulation_projected_area_18.csv | processed_data/blank_formulation_projected_area_20.csv ;; processed_data/blank_formulation_projected_area_19.csv | processed_data/blank_formulation_projected_area_21.csv ;; processed_data/blank_formulation_projected_area_4.csv | processed_data/blank_formulation_projected_area_7.csv ;; processed_data/blank_formulation_projected_area_43.csv | processed_data/blank_formulation_projected_area_5.csv | processed_data/blank_formulation_projected_area_8.csv ;; processed_data/blank_formulation_projected_area_44.csv | processed_data/blank_formulation_projected_area_6.csv ;; processed_data/fig5b_interval_fraction_checked.png | processed_data/fig5b_interval_fraction_checked_2.png | processed_data/fig5b_interval_fraction_corrected.png,Deduplicate obvious repeated source/validation copies and redundant processed outputs after confirming which copy is canonical.,manual_decision_needed
review,scripts,scripts/extract_figure.py,script_outside_core_target_scope,"OCR/OpenAlex figure extraction helper, not one of the five target scripts.",Keep only if documenting Markdown/OCR workflow; otherwise remove or move under knowledge_base/tools with clear README.,manual_decision_needed
review,scripts,scripts/figures_year_.enriched.jsonl.py,script_outside_core_target_scope,"OCR/OpenAlex figure extraction helper, not one of the five target scripts.",Keep only if documenting Markdown/OCR workflow; otherwise remove or move under knowledge_base/tools with clear README.,manual_decision_needed
review,scripts,scripts/run_dpsk_ocr_batch.py,script_outside_core_target_scope,"OCR/OpenAlex figure extraction helper, not one of the five target scripts.",Keep only if documenting Markdown/OCR workflow; otherwise remove or move under knowledge_base/tools with clear README.,manual_decision_needed
review,scripts,scripts/run_dpsk_ocr_eval_batch.py,script_outside_core_target_scope,"OCR/OpenAlex figure extraction helper, not one of the five target scripts.",Keep only if documenting Markdown/OCR workflow; otherwise remove or move under knowledge_base/tools with clear README.,manual_decision_needed
